"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Mar-08-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2018-19,2018,40,0-4 yr,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,41,0-4 yr,0.3,0.2
Entire Network,FluSurv-NET,2018-19,2018,42,0-4 yr,0.3,0.1
Entire Network,FluSurv-NET,2018-19,2018,43,0-4 yr,0.5,0.2
Entire Network,FluSurv-NET,2018-19,2018,44,0-4 yr,1,0.5
Entire Network,FluSurv-NET,2018-19,2018,45,0-4 yr,1.4,0.4
Entire Network,FluSurv-NET,2018-19,2018,46,0-4 yr,1.7,0.3
Entire Network,FluSurv-NET,2018-19,2018,47,0-4 yr,2.3,0.6
Entire Network,FluSurv-NET,2018-19,2018,48,0-4 yr,3.6,1.2
Entire Network,FluSurv-NET,2018-19,2018,49,0-4 yr,5.5,1.9
Entire Network,FluSurv-NET,2018-19,2018,50,0-4 yr,8.4,2.9
Entire Network,FluSurv-NET,2018-19,2018,51,0-4 yr,12.2,3.8
Entire Network,FluSurv-NET,2018-19,2018,52,0-4 yr,17.2,5
Entire Network,FluSurv-NET,2018-19,2019,1,0-4 yr,21.3,4.1
Entire Network,FluSurv-NET,2018-19,2019,2,0-4 yr,24.6,3.3
Entire Network,FluSurv-NET,2018-19,2019,3,0-4 yr,27.3,2.8
Entire Network,FluSurv-NET,2018-19,2019,4,0-4 yr,30.9,3.5
Entire Network,FluSurv-NET,2018-19,2019,5,0-4 yr,35.1,4.2
Entire Network,FluSurv-NET,2018-19,2019,6,0-4 yr,38.4,3.3
Entire Network,FluSurv-NET,2018-19,2019,7,0-4 yr,42.5,4.1
Entire Network,FluSurv-NET,2018-19,2019,8,0-4 yr,46.7,4.3
Entire Network,FluSurv-NET,2018-19,2019,9,0-4 yr,49.3,2.6
Entire Network,FluSurv-NET,2018-19,2018,40,5-17 yr,0,0
Entire Network,FluSurv-NET,2018-19,2018,41,5-17 yr,0,0
Entire Network,FluSurv-NET,2018-19,2018,42,5-17 yr,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,43,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2018-19,2018,44,5-17 yr,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,45,5-17 yr,0.2,0.1
Entire Network,FluSurv-NET,2018-19,2018,46,5-17 yr,0.4,0.2
Entire Network,FluSurv-NET,2018-19,2018,47,5-17 yr,0.6,0.1
Entire Network,FluSurv-NET,2018-19,2018,48,5-17 yr,0.9,0.3
Entire Network,FluSurv-NET,2018-19,2018,49,5-17 yr,1.2,0.3
Entire Network,FluSurv-NET,2018-19,2018,50,5-17 yr,2,0.8
Entire Network,FluSurv-NET,2018-19,2018,51,5-17 yr,3.4,1.4
Entire Network,FluSurv-NET,2018-19,2018,52,5-17 yr,4.2,0.8
Entire Network,FluSurv-NET,2018-19,2019,1,5-17 yr,4.6,0.4
Entire Network,FluSurv-NET,2018-19,2019,2,5-17 yr,5.1,0.6
Entire Network,FluSurv-NET,2018-19,2019,3,5-17 yr,6,0.9
Entire Network,FluSurv-NET,2018-19,2019,4,5-17 yr,7,1
Entire Network,FluSurv-NET,2018-19,2019,5,5-17 yr,8.3,1.4
Entire Network,FluSurv-NET,2018-19,2019,6,5-17 yr,9.6,1.3
Entire Network,FluSurv-NET,2018-19,2019,7,5-17 yr,11.3,1.6
Entire Network,FluSurv-NET,2018-19,2019,8,5-17 yr,12.7,1.4
Entire Network,FluSurv-NET,2018-19,2019,9,5-17 yr,13.5,0.8
Entire Network,FluSurv-NET,2018-19,2018,40,18-49 yr,0,0
Entire Network,FluSurv-NET,2018-19,2018,41,18-49 yr,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,42,18-49 yr,0.2,0
Entire Network,FluSurv-NET,2018-19,2018,43,18-49 yr,0.2,0
Entire Network,FluSurv-NET,2018-19,2018,44,18-49 yr,0.3,0.1
Entire Network,FluSurv-NET,2018-19,2018,45,18-49 yr,0.3,0.1
Entire Network,FluSurv-NET,2018-19,2018,46,18-49 yr,0.5,0.1
Entire Network,FluSurv-NET,2018-19,2018,47,18-49 yr,0.7,0.2
Entire Network,FluSurv-NET,2018-19,2018,48,18-49 yr,1,0.3
Entire Network,FluSurv-NET,2018-19,2018,49,18-49 yr,1.3,0.3
Entire Network,FluSurv-NET,2018-19,2018,50,18-49 yr,1.8,0.5
Entire Network,FluSurv-NET,2018-19,2018,51,18-49 yr,2.9,1.1
Entire Network,FluSurv-NET,2018-19,2018,52,18-49 yr,4.3,1.4
Entire Network,FluSurv-NET,2018-19,2019,1,18-49 yr,5.8,1.5
Entire Network,FluSurv-NET,2018-19,2019,2,18-49 yr,7.1,1.3
Entire Network,FluSurv-NET,2018-19,2019,3,18-49 yr,8,0.9
Entire Network,FluSurv-NET,2018-19,2019,4,18-49 yr,9.3,1.3
Entire Network,FluSurv-NET,2018-19,2019,5,18-49 yr,10.5,1.2
Entire Network,FluSurv-NET,2018-19,2019,6,18-49 yr,12,1.5
Entire Network,FluSurv-NET,2018-19,2019,7,18-49 yr,13.5,1.5
Entire Network,FluSurv-NET,2018-19,2019,8,18-49 yr,15.2,1.7
Entire Network,FluSurv-NET,2018-19,2019,9,18-49 yr,16.3,1.1
Entire Network,FluSurv-NET,2018-19,2018,40,50-64 yr,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,41,50-64 yr,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,42,50-64 yr,0.3,0.2
