text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
"RT @vaccines4life: According to the #PneuVUE study, #older people's are less aware of #pneumonia and it's impacts than they think they are,…",FALSE,0,NA,3/4/2019 16:29,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",IntFedAgeing,1,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 16:28,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",US_FDA,16,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 16:28,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",jgershman2,16,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 16:25,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",TLRMC_info,16,TRUE,FALSE,NA,NA,,,
"RT @famfightflu: Laura Scott served as our ED until her passing on 3/3/15. Her love and support helped our families through our grief, whil…",FALSE,0,NA,3/4/2019 16:24,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",WhyImmunize,3,TRUE,FALSE,NA,NA,,,
RT @johannesbracher: A #Bayesian method for #flu #forecasting which achieved quite impressive results at #CDC competitions. With an invited…,FALSE,0,NA,3/4/2019 16:24,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",EJWagenmakers,3,TRUE,FALSE,NA,NA,,,
RT @CloroxPro: Not sure about what #InfectionControl precautions you should take during #FluSeason? Dr. Sarah Bell-West has 5 tips for you…,FALSE,0,NA,3/4/2019 16:23,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",OfficePro5,1,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 16:22,FALSE,NA,1.10261E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MoCoDHHS,16,TRUE,FALSE,NA,NA,,,
RT @CoercedTaxSlave: @doctorsensation 32 Billion dollars is a lot of money to make with zero liability exposure in the US. That's a lot of…,FALSE,0,NA,3/4/2019 16:19,FALSE,NA,1.1026E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",o_jividen,12,TRUE,FALSE,NA,NA,,,
RT @SterileSpace: This is sad...North Jersey infant is third child to die from #flu this season.  https://t.co/95K0sZlofI,FALSE,0,NA,3/4/2019 16:19,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",OfficePro5,0,TRUE,FALSE,NA,NA,,,
