,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
1,"RT @PLNMeeting: Is There a True Need for #Influenza #Vaccinations in #HeartFailure?
Hear from Mark Munger, PharmD: https://t.co/9FU2kc033W",FALSE,0,NA,3/1/2019 21:18,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Pop_Health_Net,1,TRUE,FALSE,NA,NA,,,
2,People with #flu are most contagious in the first 3-4 days after the illness starts. Please stay home from school o… https://t.co/ZvE9l8L9GO,FALSE,0,NA,3/1/2019 21:15,TRUE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Maricopahealth,0,FALSE,FALSE,NA,NA,,,
3,RT @andreasavage: #Home #Flu #Day6 I think my cat says hi at the end of this video. #continuewithyourday https://t.co/TrXETWqLzU,FALSE,0,NA,3/1/2019 21:12,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teschwindt,3,TRUE,FALSE,NA,NA,,,
4,"Check out @BoironUSA's #cough, #cold and #flu products to keep your family healthy all year long! Our medicines do… https://t.co/9RV8uIDjko",FALSE,0,NA,3/1/2019 21:12,TRUE,NA,1.10E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",OscilloUSA,0,FALSE,FALSE,NA,NA,,,
5,"RT @CDCFlu: Correct answer: Yes! Antivirals and antibiotics are different. Antibiotics fight against bacterial infections, while antivirals…",FALSE,0,NA,3/1/2019 21:10,FALSE,NA,1.10E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",FranklinHealth,3,TRUE,FALSE,NA,NA,,,
6,"RT @NMPulmCritCare: Richard Wunderink, MD, director of the Medical #ICU at @NorthwesternMed, is leading an NIH sponsored project called ""Su…",FALSE,0,NA,3/1/2019 21:07,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IDPharmacometrx,3,TRUE,FALSE,NA,NA,,,
7,"RT @ViraBurnayeva: Vitamin D Is More Effective Than #Flu #Vaccine, #Study Says

https://t.co/Af7eKMRvGN https://t.co/quobcvn4fB",FALSE,0,NA,3/1/2019 21:07,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nanisbabies2000,2,TRUE,FALSE,NA,NA,,,
8,RT @famfightflu: Study says #flu vaccine will not cause a pregnant woman to miscarry. https://t.co/f6fU80lxNt #Protect2FromFlu #ACIP,FALSE,0,NA,3/1/2019 21:06,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AVACNow,7,TRUE,FALSE,NA,NA,,,
9,"Seems like kind of an average #flu season this year and yet, 15 new #pediatric #deaths just this week...… https://t.co/N7yHTepiE2",FALSE,0,NA,3/1/2019 21:06,TRUE,NA,1.10E+18,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",AboutPediatrics,0,FALSE,FALSE,NA,NA,,,
10,"#FluFactFriday: Recent studies show flu shots cut hospital risk during pregnancy. 
Learn more about Abt’s… https://t.co/WJ0cXuQE00",FALSE,0,NA,3/1/2019 21:06,TRUE,NA,1.10E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",abtassociates,0,FALSE,FALSE,NA,NA,,,
11,Let’s fight the #Flu!!! <U+0001F34A><U+0001F34A><U+0001F34A> https://t.co/5sI3UYezx7,FALSE,0,NA,3/1/2019 21:05,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",namibycandy,0,FALSE,FALSE,NA,NA,,,
12,The end of the world didn't come with a bang. It came as a whisper on the breeze. https://t.co/f9BKHOLYzY #Suspense… https://t.co/4D21mMjXxo,FALSE,1,NA,3/1/2019 21:05,TRUE,NA,1.10E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",IndieBookButler,0,FALSE,FALSE,NA,NA,,,
13,"RT @CDCFlu: Correct answer: Yes! Antivirals and antibiotics are different. Antibiotics fight against bacterial infections, while antivirals…",FALSE,0,NA,3/1/2019 21:04,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",theReal_Rebel,3,TRUE,FALSE,NA,NA,,,
14,"RT @CDCFlu: It’s #FluFactFriday! Let’s talk treatment for #flu. 
Are antivirals different from antibiotics? <U+0001F48A>",FALSE,0,NA,3/1/2019 21:04,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",theReal_Rebel,10,TRUE,FALSE,NA,NA,,,
15,"RT @ViraBurnayeva: Vitamin D Is More Effective Than #Flu #Vaccine, #Study Says

https://t.co/Af7eKMRvGN https://t.co/quobcvn4fB",FALSE,0,NA,3/1/2019 21:03,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ViraBurnayeva,2,TRUE,FALSE,NA,NA,,,
16,"RT @goldengirlsnews: #OnThisDay March 1, 1986, #GoldenGirls aired S1E21 ""The #Flu"" https://t.co/sU7J6E6NHU Blanche, Dorothy &amp; Rose all get…",FALSE,0,NA,3/1/2019 21:01,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GoldenGirls85,3,TRUE,FALSE,NA,NA,,,
17,@earpnado That “i” is too hard to type yo. ™<U+FE0F> #flu #replytotweet,FALSE,1,earpnado,3/1/2019 21:00,FALSE,1.10E+18,1.10E+18,8.93E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HollidaysStache,0,FALSE,FALSE,NA,NA,,,
18,"Vitamin D Is More Effective Than #Flu #Vaccine, #Study Says

https://t.co/Af7eKMRvGN https://t.co/quobcvn4fB",FALSE,1,NA,3/1/2019 20:56,FALSE,NA,1.10E+18,NA,"<a href=""http://ViraBurnayeva.com"" rel=""nofollow"">Vaccines and Homeopathy News</a>",ViraBurnayeva,2,FALSE,FALSE,NA,NA,,,
19,Flu season isn't over. February was a busy month for both @MedCenterHealth and @TriStarHealth due to #flu activity. https://t.co/4og9v8iCDs,FALSE,0,NA,3/1/2019 20:56,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eggersdailynews,0,FALSE,FALSE,NA,NA,,,
20,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:54,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DamonGrovesReal,7,TRUE,FALSE,NA,NA,,,
21,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:54,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DamonGrovesReal,7,TRUE,FALSE,NA,NA,,,
22,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:53,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DamonGrovesReal,7,TRUE,FALSE,NA,NA,,,
23,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeriousIda,7,TRUE,FALSE,NA,NA,,,
24,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeriousIda,7,TRUE,FALSE,NA,NA,,,
25,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeriousIda,7,TRUE,FALSE,NA,NA,,,
26,RT @andreasavage: #Home #Flu #Day6 I think my cat says hi at the end of this video. #continuewithyourday https://t.co/TrXETWqLzU,FALSE,0,NA,3/1/2019 20:51,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",madisoonsmitth,3,TRUE,FALSE,NA,NA,,,
27,"RT @BoneJointJ: Surgeons from @HSpecialSurgery find that in #elderly #patients with #hip #fractures, early #surgery within 24 hours is inde…",FALSE,0,NA,3/1/2019 20:51,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BrianThornes,7,TRUE,FALSE,NA,NA,,,
28,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:51,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PenceDr,7,TRUE,FALSE,NA,NA,,,
